product_department,remake_reason,count
C&B,Case Mix-Up,3
C&B,NEED,3
C&B,Dr. Changed Design,2
C&B,Shade,2
C&B,Contacts,1
DELIVERY,Fracture,3
DELIVERY,Fit,1
IMPLANT PT,Case Mix-Up,1
IMPLANT PT,Dr. Changed Design,1
IMPLANTS,Case Mix-Up,1
IMPLANTS,Contacts,1
IMPLANTS,Dr. Changed Design,1
MISC,Case Mix-Up,1
MISC,Contacts,1
MISC,NEED,1
PARTIAL,Fracture,1
PARTIAL,NEED,1
Removables,Fracture,5
Removables,Dr. Changed Design,1
Removables,Fit,1
Removables,NEED,1
SPLINTS,Fracture,3
SPLINTS,Dr. Changed Design,1
SPLINTS,Fit,1
