period_id,title,year,m1_label,m2_label,m3_label,total,retained,at_risk,lost,retained_pct,source_file
p01,January 2025 Retention doctors,2025,Nov 2024,Dec 2024,Jan 2025,25,5,6,14,20.0,Jan 2025 Retention.xls
p02,February 2025 Retention,2025,Dec 2024,Jan 2025,Feb 2025,30,13,4,13,43.3,Feb 2025 Retention.xls
p03,March 2025 Retention,2025,Jan 2025,Feb 2025,Mar 2025,36,17,4,15,47.2,March '25 Retention.xls
p04,April Retention Doctors,2025,Feb 2025,Mar 2025,Apr 2025,18,10,5,3,55.6,April '25 Retention.xls
p05,May 2025 Retention doctors,2025,Mar 2025,Apr 2025,May 2025,18,10,3,5,55.6,May '25 Retention.xls
p06,June 2025 Retention Doctors,2025,Apr 2025,May 2025,Jun 2025,28,8,5,15,28.6,June '25 Retention.xls
p07,July 2025 Retention,2025,May 2025,Jun 2025,Jul 2025,33,12,6,15,36.4,July '25 Retention.xls
p08,August 2025 Retention,2025,Jun 2025,Jul 2025,Aug 2025,46,18,7,21,39.1,Aug '25 Retention.xls
p09,Septermber 2025 Retention,2025,Jul 2025,Aug 2025,Sep 2025,24,11,3,10,45.8,Sept '25 Retention.xlsx
p10,October 2025 Retention,2025,Aug 2025,Sep 2025,Oct 2025,18,7,5,6,38.9,Oct '25 Retention.xls
p11,November 2025 Retention,2025,Sep 2025,Oct 2025,Nov 2025,26,11,1,14,42.3,Nov '25 Retention.xls
p12,December 2025 Retention,2025,Oct 2025,Nov 2025,Dec 2025,31,10,1,20,32.3,Dec '25 Retention.xls
p13,January 2026 Retention,2026,Nov 2025,Dec 2025,Jan 2026,28,10,4,14,35.7,Jan '26 Retention.xls
p14,February 2026 Retention,2026,Dec 2025,Jan 2026,Feb 2026,24,12,1,11,50.0,Feb '26 Retention.xls
p15,March 2026 Retention,2026,Jan 2026,Feb 2026,Mar 2026,27,14,3,10,51.9,Mar '26 Retention (version 1).xls
p16,April 2026 Retention,2026,Feb 2026,Mar 2026,Apr 2026,24,10,2,12,41.7,April '26 Retention 1.xls
