date,total_invoiced,net_sales
2026-01-02,11572.33,11478.27
2026-01-05,20429.41,20165.93
2026-01-06,22037.4,21809.19
2026-01-07,7612.8,7535.23
2026-01-08,16976.99,16834.04
2026-01-09,26044.52,25793.74
2026-01-12,18737.4,18582.22
2026-01-13,23216.61,22893.07
2026-01-14,16890.17,15752.14
2026-01-15,12055.87,11692.49
2026-01-16,33761.11,33398.01
2026-01-19,21724.44,21411.34
2026-01-20,23537.53,23320.84
2026-01-21,19354.45,19058.38
2026-01-22,30627.96,30127.67
2026-01-23,23612.2,23314.5
2026-01-26,25493.53,24514.65
2026-01-27,23066.8,22771.12
2026-01-28,21814.19,21587.5
2026-01-29,16884.89,16682.25
2026-01-30,23272.7,22999.41
2026-02-02,19594.69,19389.47
2026-02-03,21626.3,21319.21
2026-02-04,14083.46,13888.99
2026-02-05,28158.88,27812.11
2026-02-06,21326.07,20738.32
2026-02-09,14041.99,13887.24
2026-02-10,25626.52,24852.41
2026-02-11,18376.65,18209.93
2026-02-12,32117.68,31704.56
2026-02-13,24593.24,23791.02
2026-02-16,33529.99,33255.65
2026-02-17,21955.62,21558.13
2026-02-18,24690.22,23619.7
2026-02-19,23903.87,23807.5
2026-02-20,24174.78,23965.57
2026-02-23,20618.42,20265.23
2026-02-24,22592.12,22102.9
2026-02-25,28808.16,28315.38
2026-02-26,27752.22,26548.96
2026-02-27,27008.29,26426.26
2026-03-02,15857.43,15703.77
2026-03-03,21894.3,21569.89
2026-03-04,18077.3,17733.83
2026-03-05,18986.16,18529.51
2026-03-06,35883.56,35054.89
2026-03-09,21522.26,20882.63
2026-03-10,21054.98,20106.28
2026-03-11,18272.93,17783.57
2026-03-12,17295.82,16823.96
2026-03-13,18125.04,16428.73
2026-03-16,11741.29,11437.09
2026-03-17,27030.11,26350.68
2026-03-18,20999.58,20428.0
2026-03-19,24731.74,23874.88
2026-03-20,19568.19,18891.25
2026-03-23,24749.09,24094.67
2026-03-24,30667.95,29569.04
2026-03-25,20611.55,20081.26
2026-03-26,24648.48,24053.19
2026-03-27,23486.93,22562.02
2026-03-30,19958.94,19450.89
2026-03-31,31406.95,30557.71
2026-04-01,17557.64,17068.93
2026-04-02,18697.87,18227.26
2026-04-03,19782.17,19294.6
2026-04-06,18298.01,17786.53
2026-04-07,24838.61,23669.61
2026-04-08,19982.99,19492.42
2026-04-09,25445.37,24801.74
2026-04-10,22038.23,21491.52
2026-04-13,19142.46,18611.84
2026-04-14,16071.82,15670.67
2026-04-15,19624.78,19115.4
2026-04-16,19109.07,18660.54
2026-04-17,33472.61,32664.07
2026-04-20,22757.9,22177.9
2026-04-21,18649.48,18201.66
2026-04-22,18469.85,17998.92
2026-04-23,22920.04,22332.12
2026-04-24,19528.29,18708.84
2026-04-27,23578.69,23014.09
2026-04-28,28635.46,27861.76
2026-04-29,23687.73,23123.28
2026-04-30,30227.41,29421.46
2026-05-01,14789.61,14443.31
2026-05-04,25642.65,25036.82
2026-05-05,16998.24,16586.56
2026-05-06,20271.47,19573.17
2026-05-07,21115.24,19907.73
2026-05-08,23641.84,23007.46
2026-05-11,23081.94,22503.48
